timestamp,accel_A-01_ms2,accel_A-02_ms2
2.18,-0.24,0.002
2.2,-0.233,0.038
2.22,-0.235,0.021
2.24,-0.22,0.088
2.26,-0.117,0.011
2.28,-0.292,0.03
2.3,-0.284,0.094
2.32,-0.146,0.067
2.34,-0.217,0.152
2.36,-0.145,0.08
2.38,-0.22,0.079
2.4,-0.128,0.036
2.42,-0.114,0.079
2.44,-0.096,0.048
2.46,-0.093,0.074
2.48,-0.015,0.104
2.5,0.043,0.096
2.52,0.031,0.122
2.54,0.047,-0.011
2.56,0.057,0.197
2.58,0.059,0.129
2.6,0.128,0.077
2.62,0.106,0.068
2.64,0.154,0.014
2.66,0.14,0.116
2.68,0.095,0.105
2.7,0.047,0.186
2.72,0.127,0.126
2.74,0.168,0.078
2.76,0.202,0.1
2.78,0.198,0.112
2.8,0.139,0.144
2.82,0.207,0.012
2.84,0.337,0.033
2.86,0.209,0.091
2.88,0.204,-0.0
2.9,0.254,-0.073
2.92,0.177,0.091
2.94,0.14,0.057
2.96,0.207,0.052
2.98,0.15,0.086
3.0,0.078,0.045
3.02,0.0,-0.051
3.04,0.101,-0.045
3.06,0.056,-0.011
3.08,0.157,0.025
3.1,0.086,0.041
3.12,0.052,0.086
3.14,0.007,-0.028
3.16,0.059,-0.03
3.18,-0.054,0.041
3.2,-0.048,-0.063
3.22,-0.074,0.008
3.24,0.028,-0.018
3.26,-0.216,-0.045
3.28,-0.109,-0.086
3.3,-0.146,-0.066
3.32,-0.126,-0.161
3.34,-0.221,-0.066
3.36,-0.159,-0.059
3.38,-0.151,-0.041
3.4,-0.178,-0.048
3.42,-0.228,-0.096
3.44,-0.238,0.013
3.46,-0.21,-0.083
3.48,-0.169,-0.1
3.5,-0.246,-0.065
3.52,-0.2,-0.097
3.54,-0.214,-0.107
3.56,-0.189,-0.153
3.58,-0.199,-0.089
3.6,-0.126,-0.13
3.62,-0.066,-0.155
3.64,-0.137,-0.173
3.66,-0.15,-0.118
3.68,-0.09,-0.006
3.7,-0.13,-0.024
3.72,-0.204,-0.091
3.74,-0.039,-0.079
3.76,-0.007,-0.045
3.78,0.095,-0.074
3.8,0.031,-0.044
3.82,0.007,-0.068
3.84,0.065,-0.092
3.86,-0.013,-0.136
3.88,0.081,-0.099
3.9,0.042,-0.082
3.92,0.237,-0.072
3.94,0.114,-0.106
3.96,0.149,-0.049
3.98,0.095,-0.157
4.0,0.151,-0.076
4.02,0.249,-0.064
4.04,0.221,-0.136
4.06,0.195,-0.042
4.08,0.135,0.053
4.1,0.206,0.015
4.12,0.177,-0.04
4.14,0.184,-0.02
4.16,0.127,0.036
4.18,0.232,0.065
4.2,0.112,0.022
4.22,0.146,0.019
4.24,0.187,0.07
4.26,0.154,-0.009
4.28,0.01,0.022
4.3,0.062,0.048
4.32,0.013,0.046
4.34,-0.007,-0.004
4.36,-0.041,0.008
4.38,0.035,0.026
4.4,0.057,0.078
4.42,-0.032,0.095
4.44,-0.051,-0.008
4.46,-0.073,0.119
4.48,-0.084,0.139
4.5,-0.11,0.13
4.52,-0.171,0.128
4.54,-0.133,0.108
4.56,-0.175,0.114
4.58,-0.171,0.117
4.6,-0.197,0.103
4.62,-0.314,0.116
4.64,-0.233,0.065
4.66,-0.272,0.09
4.68,-0.204,0.073
4.7,-0.185,0.143
4.72,-0.176,0.128
4.74,-0.138,0.011
4.76,-0.204,0.154
4.78,-0.236,0.117
4.8,-0.136,0.111
4.82,-0.163,0.0
4.84,-0.238,0.099
4.86,-0.182,0.045
4.88,-0.115,0.066
4.9,-0.079,-0.034
4.92,-0.077,0.178
4.94,-0.105,0.045
4.96,-0.116,0.091
4.98,-0.177,0.008
5.0,-0.053,0.083
5.02,-0.033,0.152
5.04,0.004,0.121
5.06,0.001,0.011
5.08,0.071,0.003
5.1,0.063,-0.022
5.12,0.067,-0.003
5.14,0.041,0.065
5.16,0.012,0.027
5.18,0.102,-0.016
5.2,0.033,0.0
5.22,0.135,-0.009
5.24,0.19,0.018
5.26,0.22,-0.082
5.28,0.333,0.004
5.3,0.241,-0.059
5.32,0.168,0.03
5.34,0.188,-0.072
5.36,0.122,0.017
5.38,0.201,-0.029
5.4,0.191,-0.113
5.42,0.193,0.003
5.44,0.093,-0.099
5.46,0.273,-0.025
5.48,0.14,-0.062
5.5,0.086,-0.036
5.52,0.131,-0.008
5.54,0.264,-0.046
5.56,0.047,-0.001
5.58,0.096,-0.102
5.6,0.1,-0.226
5.62,0.078,-0.111
5.64,0.039,-0.088
5.66,-0.045,-0.147
5.68,-0.054,-0.262
5.7,-0.047,-0.086
5.72,0.001,-0.1
5.74,-0.073,-0.059
5.76,-0.188,-0.045
5.78,-0.154,-0.102
5.8,-0.047,-0.065
5.82,-0.185,-0.07
5.84,-0.132,-0.085
5.86,-0.206,-0.1
5.88,-0.162,-0.102
5.9,-0.304,-0.036
5.92,-0.27,-0.049
5.94,-0.212,-0.084
5.96,-0.239,-0.072
5.98,-0.179,-0.111
6.0,-0.275,-0.075
6.02,-0.162,-0.167
6.04,-0.295,-0.06
6.06,-0.137,-0.064
6.08,-0.265,0.0
6.1,-0.261,-0.085
6.12,-0.154,-0.037
6.14,-0.11,-0.058
6.16,-0.18,0.062
6.18,-0.092,-0.061
6.2,-0.077,-0.019
6.22,-0.137,0.07
6.24,-0.067,-0.078
6.26,0.017,0.074
6.28,0.037,0.08
6.3,-0.037,0.134
6.32,0.033,-0.048
6.34,0.017,0.057
6.36,0.139,0.026
6.38,0.131,0.061
6.4,0.176,0.07
6.42,0.117,0.038
6.44,0.152,0.021
6.46,0.146,0.108
6.48,0.213,0.027
6.5,0.242,0.068
6.52,0.13,0.085
6.54,0.177,0.176
6.56,0.238,0.081
6.58,0.264,0.061
6.6,0.294,0.161
6.62,0.296,0.157
6.64,0.192,0.073
6.66,0.221,0.132
6.68,0.17,0.099
6.7,0.222,0.097
6.72,0.146,0.034
6.74,0.123,0.195
6.76,0.099,0.094
6.78,0.075,0.086
6.8,0.002,0.128
6.82,0.061,0.204
6.84,0.131,0.136
6.86,0.103,0.052
6.88,-0.025,0.066
6.9,0.014,0.085
6.92,-0.1,0.112
6.94,-0.148,0.091
6.96,-0.099,0.033
6.98,-0.085,0.165
7.0,-0.044,0.144
7.02,-0.036,0.117
7.04,-0.132,0.031
7.06,-0.08,0.092
7.08,-0.132,0.124
7.1,-0.179,0.078
7.12,-0.199,0.053
7.14,-0.082,0.017
7.16,-0.256,0.057
7.18,-0.147,0.066
7.2,-0.228,-0.013
7.22,-0.16,0.083
7.24,-0.135,0.014
7.26,-0.163,0.049
7.28,-0.284,0.036
7.3,-0.053,-0.109
7.32,-0.196,-0.066
7.34,-0.065,-0.027
7.36,-0.185,0.083
7.38,-0.055,-0.063
7.4,-0.122,0.018
7.42,-0.145,0.018
7.44,-0.088,-0.057
7.46,-0.105,-0.104
7.48,-0.123,-0.045
7.5,-0.084,-0.132
7.52,0.029,-0.003
7.54,-0.045,-0.059
7.56,0.086,-0.034
7.58,0.083,-0.1
7.6,0.065,-0.141
7.62,0.075,-0.033
7.64,0.143,-0.055
7.66,0.191,-0.142
7.68,0.155,-0.051
7.7,0.189,-0.025
7.72,0.095,-0.086
7.74,0.236,-0.013
7.76,0.206,-0.127
7.78,0.275,-0.123
7.8,0.244,-0.059
7.82,0.295,-0.106
7.84,0.223,-0.205
7.86,0.192,-0.083
7.88,0.279,-0.128
7.9,0.162,-0.112
7.92,0.126,-0.058
7.94,0.187,-0.117
7.96,0.164,-0.144
7.98,0.16,-0.133
8.0,0.179,-0.138
8.02,0.135,-0.101
8.04,0.247,-0.094
8.06,0.028,-0.13
8.08,0.067,0.001
8.1,0.02,-0.052
8.12,0.081,-0.102
8.14,-0.029,-0.097
8.16,-0.008,-0.129
8.18,-0.014,-0.095
8.2,0.094,0.015
8.22,-0.054,-0.027
8.24,-0.096,-0.043
8.26,-0.083,0.061
8.28,-0.115,-0.0
8.3,-0.018,-0.015
8.32,-0.198,-0.031
8.34,-0.157,0.001
8.36,-0.107,0.008
8.38,-0.205,-0.031
8.4,-0.159,-0.029
8.42,-0.205,-0.023
8.44,-0.198,0.001
8.46,-0.244,0.023
8.48,-0.289,0.008
8.5,-0.259,0.0
8.52,-0.187,0.056
8.54,-0.198,0.096
8.56,-0.135,0.071
8.58,-0.234,0.099
8.6,-0.281,0.13
8.62,-0.165,0.032
8.64,-0.144,0.074
8.66,-0.095,0.105
8.68,-0.106,0.007
8.7,-0.074,0.025
8.72,-0.015,0.024
8.74,-0.083,0.001
8.76,-0.062,0.161
8.78,0.014,0.114
8.8,0.01,0.065
8.82,0.07,0.08
8.84,0.032,0.161
8.86,0.028,0.04
8.88,0.004,0.089
8.9,0.101,0.074
8.92,0.112,0.052
8.94,0.142,0.209
8.96,0.136,0.077
8.98,0.146,0.101
9.0,0.171,0.056
9.02,0.257,0.15
9.04,0.253,0.052
9.06,0.138,0.133
9.08,0.255,0.076
9.1,0.254,0.075
9.12,0.221,0.06
9.14,0.181,-0.023
9.16,0.259,0.055
9.18,0.196,0.112
9.2,0.203,0.046
9.22,0.144,0.021
9.24,0.216,0.027
9.26,0.132,0.005
9.28,0.098,0.017
9.3,0.053,0.034
9.32,0.049,0.054
9.34,0.17,-0.015
9.36,0.044,-0.075
9.38,0.06,0.02
9.4,0.012,-0.009
9.42,-0.001,0.015
9.44,-0.088,-0.003
9.46,-0.07,0.063
9.48,-0.124,-0.019
9.5,-0.042,-0.083
9.52,0.011,-0.081
9.54,-0.053,-0.025
9.56,-0.154,-0.058
9.58,-0.237,0.028
9.6,-0.125,-0.031
9.62,-0.197,-0.07
9.64,-0.191,0.031
9.66,-0.118,-0.063
9.68,-0.162,-0.14
9.7,-0.28,-0.046
9.72,-0.209,-0.055
9.74,-0.246,-0.111
9.76,-0.163,-0.134
9.78,-0.175,-0.164
9.8,-0.155,-0.004
9.82,-0.257,-0.038
9.84,-0.114,-0.127
9.86,-0.094,-0.11
9.88,-0.099,-0.121
9.9,-0.1,-0.029
9.92,-0.109,-0.184
9.94,-0.078,-0.107
9.96,-0.047,-0.061
9.98,-0.023,-0.082
10.0,0.0,-0.187
10.02,0.013,-0.082
10.04,-0.056,-0.069
10.06,0.027,-0.106
10.08,0.072,0.003
10.1,0.0,-0.107
10.12,0.102,0.001
10.14,0.145,-0.067
10.16,0.08,-0.087
10.18,0.105,-0.054
10.2,0.301,-0.047
10.22,0.156,-0.151
10.24,0.203,-0.117
10.26,0.05,0.014
10.28,0.21,-0.053
10.3,0.16,-0.013
10.32,0.125,-0.156
10.34,0.15,-0.036
10.36,0.17,-0.063
10.38,0.189,-0.026
10.4,0.233,-0.039
10.42,0.239,-0.031
10.44,0.21,-0.008
10.46,0.149,0.039
10.48,0.202,0.048
10.5,0.142,0.102
10.52,0.13,0.056
10.54,0.082,0.081
10.56,0.166,-0.023
10.58,0.042,0.039
10.6,0.012,0.016
10.62,0.098,0.069
10.64,0.025,0.008
10.66,0.063,0.064
10.68,-0.025,0.109
10.7,0.022,0.03
10.72,-0.06,0.164
10.74,-0.029,0.17
10.76,-0.074,0.127
10.78,-0.023,0.079
10.8,-0.195,0.078
10.82,-0.111,0.087
10.84,-0.117,0.057
10.86,-0.247,0.077
10.88,-0.165,0.07
10.9,-0.166,0.078
10.92,-0.288,0.175
10.94,-0.164,0.09
10.96,-0.171,0.163
10.98,-0.157,0.027
11.0,-0.234,0.115
11.02,-0.247,0.131
11.04,-0.147,0.073
11.06,-0.283,0.141
11.08,-0.16,0.061
11.1,-0.144,0.146
11.12,-0.188,0.012
11.14,-0.183,0.039
11.16,-0.194,0.148
11.18,-0.16,0.07
11.2,-0.131,0.09
11.22,-0.047,0.168
11.24,-0.083,0.119
11.26,-0.068,0.069
11.28,-0.062,0.096
11.3,0.047,0.106
11.32,-0.065,0.023
11.34,0.082,-0.026
11.36,-0.025,0.059
11.38,0.097,-0.014
11.4,0.109,-0.0
11.42,0.076,0.109
11.44,0.129,0.023
11.46,0.183,-0.058
11.48,0.152,-0.029
11.5,0.172,0.056
11.52,0.15,0.038
11.54,0.163,-0.025
11.56,0.185,0.088
11.58,0.161,-0.062
11.6,0.186,0.002
11.62,0.305,-0.072
11.64,0.161,-0.067
11.66,0.324,-0.1
11.68,0.171,0.033
11.7,0.234,-0.047
11.72,0.182,-0.058
11.74,0.093,-0.075
11.76,0.239,-0.017
11.78,0.193,-0.088
11.8,0.137,0.024
11.82,0.158,-0.123
11.84,0.16,-0.12
11.86,0.06,-0.059
11.88,0.044,-0.137
11.9,0.044,-0.009
11.92,-0.028,-0.054
11.94,-0.008,-0.066
11.96,-0.039,-0.159
11.98,-0.014,-0.141
12.0,-0.147,-0.117
12.02,0.012,-0.086
12.04,-0.156,-0.072
12.06,-0.102,-0.134
12.08,-0.114,-0.138
12.1,-0.128,-0.083
12.12,-0.2,-0.037
12.14,-0.169,-0.039
12.16,-0.182,-0.043
12.18,-0.144,-0.174
12.2,-0.234,-0.13
12.22,-0.246,-0.141
12.24,-0.169,-0.132
12.26,-0.264,-0.053
12.28,-0.172,-0.073
12.3,-0.288,-0.09
12.32,-0.173,-0.023
12.34,-0.098,0.03
12.36,-0.178,-0.145
12.38,-0.142,-0.046
12.4,-0.145,-0.073
12.42,-0.09,-0.066
12.44,-0.2,-0.117
12.46,-0.074,-0.068
12.48,-0.094,0.004
12.5,-0.019,-0.083
12.52,-0.059,-0.003
12.54,-0.05,-0.057
12.56,0.063,0.04
12.58,0.007,0.012
12.6,-0.018,0.004
12.62,0.033,0.025
12.64,0.109,0.038
12.66,0.147,0.069
12.68,0.154,0.035
12.7,0.117,0.018
12.72,0.206,-0.023
12.74,0.203,0.092
12.76,0.063,0.047
12.78,0.228,0.036
12.8,0.134,0.027
12.82,0.124,0.105
12.84,0.19,0.068
12.86,0.171,0.111
12.88,0.193,0.121
12.9,0.221,0.045
12.92,0.319,0.08
12.94,0.088,0.066
12.96,0.152,0.104
12.98,0.225,0.145
13.0,0.237,0.06
13.02,0.174,0.049
13.04,0.121,0.024
13.06,0.068,0.105
13.08,0.096,0.063
13.1,0.107,0.097
13.12,0.025,0.076
13.14,0.041,0.17
13.16,0.002,0.189
13.18,-0.018,0.134
13.2,0.01,0.025
13.22,-0.024,0.153
13.24,-0.074,0.073
13.26,-0.067,0.088
13.28,-0.089,0.056
13.3,-0.118,0.121
13.32,-0.136,0.098
13.34,-0.097,0.084
13.36,-0.278,0.147
13.38,-0.086,-0.009
13.4,-0.161,0.075
13.42,-0.13,0.108
13.44,-0.196,0.118
13.46,-0.167,-0.035
13.48,-0.216,0.016
13.5,-0.183,0.121
13.52,-0.216,0.083
13.54,-0.16,-0.003
13.56,-0.214,0.016
13.58,-0.2,-0.016
13.6,-0.0,0.022
13.62,-0.152,-0.036
13.64,-0.167,-0.122
13.66,-0.159,-0.049
13.68,-0.065,0.027
13.7,-0.164,0.006
13.72,-0.216,-0.088
13.74,-0.075,-0.05
13.76,0.041,-0.111
13.78,-0.022,-0.047
13.8,0.015,-0.026
13.82,0.044,0.026
13.84,0.053,-0.053
13.86,0.025,-0.056
13.88,-0.032,-0.036
13.9,0.083,-0.096
13.92,0.163,-0.093
13.94,0.135,0.029
13.96,0.117,-0.072
13.98,0.096,-0.026
14.0,0.169,-0.119
14.02,0.116,-0.049
14.04,0.111,-0.124
14.06,0.214,-0.102
14.08,0.201,-0.038
14.1,0.229,-0.155
14.12,0.177,-0.137
14.14,0.23,-0.159
14.16,0.233,-0.153
14.18,0.062,-0.134
14.2,0.206,-0.057
14.22,0.188,-0.129
14.24,0.192,-0.052
14.26,0.181,-0.136
14.28,0.208,-0.111
14.3,0.144,0.026
14.32,0.125,-0.109
14.34,0.107,-0.169
14.36,0.085,0.065
14.38,0.042,-0.152
14.4,0.14,0.023
14.42,0.071,-0.051
14.44,0.062,-0.001
14.46,-0.031,-0.001
14.48,0.008,-0.008
14.5,-0.138,-0.049
14.52,-0.093,-0.005
14.54,-0.074,-0.009
14.56,-0.115,-0.047
14.58,-0.091,-0.02
14.6,-0.099,0.024
14.62,-0.192,0.06
14.64,-0.251,-0.03
14.66,-0.147,0.041
14.68,-0.158,0.008
14.7,-0.192,0.045
14.72,-0.092,0.031
14.74,-0.212,0.049
14.76,-0.266,-0.042
14.78,-0.194,0.001
14.8,-0.257,0.076
14.82,-0.159,0.098
14.84,-0.201,-0.02
14.86,-0.275,0.054
14.88,-0.171,0.045
14.9,-0.144,0.173
14.92,-0.067,0.062
14.94,-0.178,0.152
14.96,-0.086,0.071
14.98,0.036,0.04
15.0,-0.048,0.003
15.02,-0.052,0.18
15.04,-0.107,0.088
15.06,-0.02,0.105
15.08,0.024,0.136
15.1,0.05,0.109
15.12,0.015,0.146
15.14,0.058,0.035
15.16,0.067,0.107
15.18,0.078,0.117
15.2,0.161,0.122
15.22,0.042,0.154
15.24,0.186,0.026
15.26,0.193,0.094
15.28,0.184,0.072
15.3,0.175,0.048
15.32,0.199,0.088
15.34,0.2,0.12
15.36,0.16,0.098
15.38,0.181,0.163
15.4,0.276,0.092
15.42,0.245,0.064
15.44,0.211,0.137
15.46,0.147,0.075
15.48,0.242,0.04
15.5,0.123,0.002
15.52,0.273,-0.011
15.54,0.078,0.092
15.56,0.078,-0.018
15.58,0.132,-0.027
15.6,0.024,0.036
15.62,0.101,0.01
15.64,0.065,0.032
15.66,0.09,0.049
15.68,0.031,-0.027
15.7,-0.0,0.019
15.72,-0.03,0.131
15.74,-0.151,-0.018
15.76,-0.203,-0.023
15.78,-0.048,-0.07
15.8,-0.101,0.064
15.82,-0.155,-0.01
15.84,-0.119,-0.116
15.86,-0.098,-0.02
15.88,-0.084,-0.07
15.9,-0.051,-0.074
15.92,-0.154,0.087
15.94,-0.18,-0.045
15.96,-0.142,-0.035
15.98,-0.176,-0.045
16.0,-0.17,-0.129
16.02,-0.206,-0.096
16.04,-0.217,-0.136
16.06,-0.079,-0.124
16.08,-0.202,-0.119
16.1,-0.224,-0.059
16.12,-0.165,-0.131
16.14,-0.114,-0.095
16.16,-0.167,-0.107
16.18,-0.196,-0.089
16.2,-0.136,-0.09
16.22,-0.051,-0.106
16.24,-0.048,-0.077
16.26,-0.121,-0.032
16.28,-0.092,-0.139
16.3,0.009,-0.017
16.32,0.036,-0.057
16.34,-0.068,-0.094
16.36,0.03,-0.012
16.38,0.087,-0.125
16.4,0.118,-0.125
16.42,0.126,-0.08
16.44,0.038,-0.102
16.46,0.104,-0.086
16.48,0.151,-0.132
16.5,0.074,-0.103
16.52,0.246,0.016
16.54,0.219,-0.101
16.56,0.146,-0.07
16.58,0.268,-0.107
16.6,0.064,-0.016
16.62,0.284,0.024
16.64,0.206,0.037
16.66,0.216,-0.054
16.68,0.183,-0.104
16.7,0.189,-0.008
16.72,0.168,-0.04
16.74,0.194,0.037
16.76,0.159,0.023
16.78,0.153,-0.114
16.8,0.062,0.019
16.82,0.068,-0.048
16.84,0.039,-0.003
16.86,0.03,0.067
16.88,0.052,0.088
16.9,0.073,-0.0
16.92,0.021,0.113
16.94,-0.114,0.075
16.96,0.01,0.017
16.98,0.029,0.022
17.0,-0.009,0.007
17.02,-0.012,-0.024
17.04,-0.095,0.058
17.06,-0.09,0.053
17.08,-0.054,0.032
17.1,-0.235,0.196
17.12,-0.096,0.01
17.14,-0.207,0.149
17.16,-0.2,0.057
17.18,-0.253,0.113
17.2,-0.197,0.151
17.22,-0.095,0.136
17.24,-0.183,0.097
17.26,-0.196,0.039
17.28,-0.246,0.078
17.3,-0.212,0.134
17.32,-0.219,0.022
17.34,-0.15,0.127
17.36,-0.272,0.105
17.38,-0.204,0.086
17.4,-0.145,0.144
17.42,-0.164,0.027
17.44,-0.146,0.137
17.46,-0.073,0.11
17.48,-0.114,0.107
17.5,-0.054,0.137
17.52,-0.087,0.005
17.54,-0.109,0.013
17.56,-0.006,-0.029
17.58,-0.039,0.06
17.6,-0.031,0.063
17.62,0.016,0.16
17.64,0.06,0.036
17.66,0.031,-0.008
17.68,0.182,-0.069
17.7,0.065,-0.076
17.72,0.091,0.022
17.74,0.174,0.005
17.76,0.256,0.084
17.78,0.23,0.082
17.8,0.21,0.033
17.82,0.165,-0.079
17.84,0.065,0.051
17.86,0.246,0.038
17.88,0.102,-0.135
17.9,0.209,-0.131
17.92,0.247,-0.097
17.94,0.188,-0.078
17.96,0.191,-0.034
17.98,0.205,-0.038
18.0,0.23,-0.081
18.02,0.158,-0.104
18.04,0.091,-0.048
18.06,0.159,-0.017
18.08,0.12,-0.105
18.1,0.104,-0.087
18.12,0.08,0.02
18.14,0.068,-0.187
18.16,0.025,-0.163
18.18,0.032,-0.087
18.2,0.087,-0.069
18.22,-0.08,-0.057
18.24,0.015,-0.026
18.26,-0.02,-0.136
18.28,-0.068,0.008
18.3,-0.089,-0.045
18.32,-0.17,-0.117
18.34,-0.058,-0.091
18.36,-0.09,-0.062
18.38,-0.206,-0.048
18.4,-0.125,-0.096
18.42,-0.145,-0.171
18.44,-0.169,-0.047
18.46,-0.195,-0.066
18.48,-0.216,-0.028
18.5,-0.227,-0.077
18.52,-0.129,-0.113
18.54,-0.101,-0.153
18.56,-0.151,-0.1
18.58,-0.23,-0.01
18.6,-0.182,-0.092
18.62,-0.196,-0.036
18.64,-0.202,-0.144
18.66,-0.115,-0.043
18.68,-0.212,-0.031
18.7,-0.105,0.012
18.72,-0.124,-0.044
18.74,-0.151,-0.042
18.76,-0.051,-0.07
18.78,-0.029,-0.065
18.8,-0.025,-0.071
18.82,-0.082,-0.007
18.84,0.02,-0.086
18.86,-0.045,-0.001
18.88,-0.011,0.073
18.9,0.131,0.056
18.92,0.026,0.041
18.94,0.052,0.008
18.96,0.097,-0.057
18.98,0.124,0.052
19.0,0.1,-0.046
19.02,0.169,0.026
19.04,0.252,0.097
19.06,0.149,0.089
19.08,0.133,0.021
19.1,0.153,0.099
19.12,0.135,0.196
19.14,0.121,0.069
19.16,0.23,0.089
19.18,0.154,0.07
19.2,0.24,0.088
19.22,0.21,0.151
19.24,0.28,0.01
19.26,0.131,0.17
19.28,0.113,0.006
19.3,0.149,0.027
19.32,0.171,0.055
19.34,0.118,0.114
19.36,0.143,0.117
19.38,0.086,0.168
19.4,-0.013,0.124
19.42,0.015,0.101
19.44,-0.01,0.19
19.46,0.105,0.037
19.48,-0.003,0.087
19.5,-0.076,0.093
19.52,0.082,0.07
19.54,-0.098,0.044
19.56,-0.052,-0.023
19.58,-0.092,0.082
19.6,-0.143,0.087
19.62,-0.17,0.152
19.64,-0.19,0.078
19.66,-0.126,0.067
19.68,-0.246,0.061
19.7,-0.27,0.074
19.72,-0.109,0.115
19.74,-0.211,-0.023
19.76,-0.191,-0.005
19.78,-0.185,0.072
19.8,-0.271,0.106
19.82,-0.221,-0.018
19.84,-0.154,-0.065
19.86,-0.263,0.003
19.88,-0.296,0.044
19.9,-0.203,-0.081
19.92,-0.142,-0.052
19.94,-0.207,0.028
19.96,-0.143,-0.012
19.98,-0.104,0.008
20.0,-0.142,-0.03
20.02,-0.116,-0.056
20.04,-0.143,-0.008
20.06,-0.049,0.073
20.08,-0.059,-0.032
20.1,-0.003,-0.069
20.12,-0.006,-0.076
20.14,0.013,-0.072
20.16,0.095,-0.025
20.18,0.183,-0.086
20.2,0.077,-0.069
20.22,0.107,-0.044
20.24,0.056,-0.046
20.26,0.094,-0.074
20.28,0.157,-0.108
20.3,0.207,-0.157
20.32,0.274,-0.005
20.34,0.163,-0.127
20.36,0.205,-0.085
20.38,0.206,-0.124
20.4,0.205,-0.098
20.42,0.232,0.026
20.44,0.207,-0.101
20.46,0.256,-0.085
20.48,0.124,-0.236
20.5,0.243,0.002
20.52,0.135,-0.025
20.54,0.175,-0.091
20.56,0.13,-0.092
20.58,0.157,-0.143
20.6,0.112,-0.007
20.62,0.129,-0.17
20.64,0.089,-0.072
20.66,0.132,-0.129
20.68,0.039,-0.079
20.7,0.066,-0.048
20.72,0.035,-0.02
20.74,0.048,-0.031
20.76,0.026,-0.059
20.78,-0.103,-0.08
20.8,-0.049,-0.02
20.82,-0.05,-0.029
20.84,-0.082,-0.025
20.86,-0.044,-0.017
20.88,-0.086,-0.007
20.9,-0.173,0.011
20.92,-0.13,0.052
20.94,-0.151,-0.059
20.96,-0.206,-0.012
20.98,-0.205,0.032
21.0,-0.211,-0.016
21.02,-0.293,0.088
21.04,-0.108,0.076
21.06,-0.21,0.093
21.08,-0.071,-0.003
21.1,-0.224,-0.052
21.12,-0.206,0.007
21.14,-0.256,0.134
21.16,-0.213,0.075
21.18,-0.122,0.102
21.2,-0.134,0.066
21.22,-0.178,0.148
21.24,-0.177,0.086
21.26,-0.078,0.16
21.28,0.005,0.113
21.3,-0.113,0.081
21.32,-0.106,0.07
21.34,-0.02,0.008
21.36,0.003,0.1
21.38,0.072,0.085
21.4,0.043,0.05
21.42,0.063,0.134
21.44,0.124,0.052
21.46,0.136,0.15
21.48,0.137,0.107
